State,States,COUNTY,County,Species_Group,Growing_Stock_A,Nongrowing_Stock_A,All_Sources_A,Growing_Stock_B,Nongrowing_Stock_B,All_Sources_B,Growing_Stock_C,Nongrowing_Stock_C,All_Sources_C,Growing_Stock_D,Nongrowing_Stock_D,All_Sources_D,Hardwood_Density_lb_ft3,Df,CC,Percentshoot,HANPP_lb_C_perthousand_cubicfeet,TotalHANPP_Harvest_in_Tonnes,HANPP_harvest_used_in_Tonnes,HANPP_Harvest_unused_in_Tonnes,HANPP_Harvest_above_ground_in_Tonnes,HANPP_Harvest_below_ground_in_Tonnes,Stcnty
GA 2012,GEORGIA,EFFINGHAM,Effingham,Hardwood,"3,840",364,"4,204",765,953,"1,718",854,688,"1,542","5,459","2,005","7,464",43,0.78,0.45,0.80,18866,63875,35977,27898,51100,12775,GEORGIA_EFFINGHAM
GA 2012,GEORGIA,ELBERT,Elbert,Hardwood,"2,094",209,"2,303",419,522,941,467,377,844,"2,980","1,108","4,088",43,0.78,0.45,0.80,18866,34984,19708,15276,27987,6997,GEORGIA_ELBERT
GA 2012,GEORGIA,EMANUEL,Emanuel,Hardwood,"2,450",355,"2,805",510,636,"1,146",570,459,"1,029","3,530","1,450","4,980",43,0.78,0.45,0.80,18866,42618,24004,18613,34094,8524,GEORGIA_EMANUEL
GA 2012,GEORGIA,EVANS,Evans,Hardwood,329,37,366,67,83,150,74,60,134,470,180,650,43,0.78,0.45,0.80,18866,5563,3132,2430,4450,1113,GEORGIA_EVANS
GA 2012,GEORGIA,FANNIN,Fannin,Hardwood,266,21,287,52,65,117,58,47,105,376,133,509,43,0.78,0.45,0.80,18866,4356,2456,1900,3485,871,GEORGIA_FANNIN
GA 2012,GEORGIA,FAYETTE,Fayette,Hardwood,66,7,73,13,17,30,15,12,27,94,36,130,43,0.78,0.45,0.80,18866,1113,625,488,890,223,GEORGIA_FAYETTE
GA 2012,GEORGIA,FLOYD,Floyd,Hardwood,"2,175",238,"2,413",439,547,986,490,395,885,"3,104","1,180","4,284",43,0.78,0.45,0.80,18866,36661,20650,16012,29329,7332,GEORGIA_FLOYD
GA 2012,GEORGIA,FORSYTH,Forsyth,Hardwood,377,36,413,75,94,169,84,68,152,536,198,734,43,0.78,0.45,0.80,18866,6281,3534,2747,5025,1256,GEORGIA_FORSYTH
GA 2012,GEORGIA,FRANKLIN,Franklin,Hardwood,781,80,861,157,195,352,175,141,316,"1,113",416,"1,529",43,0.78,0.45,0.80,18866,13085,7368,5717,10468,2617,GEORGIA_FRANKLIN
GA 2012,GEORGIA,FULTON,Fulton,Hardwood,"1,056",90,"1,146",208,260,468,233,187,420,"1,497",537,"2,034",43,0.78,0.45,0.80,18866,17406,9807,7599,13925,3481,GEORGIA_FULTON
GA 2012,GEORGIA,GILMER,Gilmer,Hardwood,997,70,"1,067",194,242,436,217,174,391,"1,407",487,"1,894",43,0.78,0.45,0.80,18866,16208,9131,7077,12967,3242,GEORGIA_GILMER
GA 2012,GEORGIA,GLASCOCK,Glascock,Hardwood,"1,178",87,"1,265",230,287,517,257,207,464,"1,665",581,"2,246",43,0.78,0.45,0.80,18866,19221,10826,8395,15377,3844,GEORGIA_GLASCOCK
GA 2012,GEORGIA,GLYNN,Glynn,Hardwood,817,91,908,165,206,371,184,149,333,"1,167",445,"1,612",43,0.78,0.45,0.80,18866,13795,7770,6025,11036,2759,GEORGIA_GLYNN
GA 2012,GEORGIA,GORDON,Gordon,Hardwood,696,68,764,139,173,312,155,125,280,990,366,"1,356",43,0.78,0.45,0.80,18866,11604,6538,5066,9283,2321,GEORGIA_GORDON
GA 2012,GEORGIA,GRADY,Grady,Hardwood,702,59,761,138,173,311,155,124,279,995,356,"1,351",43,0.78,0.45,0.80,18866,11561,6512,5049,9249,2312,GEORGIA_GRADY
GA 2012,GEORGIA,GREENE,Greene,Hardwood,"2,506",265,"2,771",504,628,"1,132",563,453,"1,016","3,573","1,346","4,919",43,0.78,0.45,0.80,18866,42095,23713,18382,33676,8419,GEORGIA_GREENE
GA 2012,GEORGIA,GWINNETT,Gwinnett,Hardwood,479,48,527,96,119,215,107,86,193,682,253,935,43,0.78,0.45,0.80,18866,8001,4510,3492,6401,1600,GEORGIA_GWINNETT
GA 2012,GEORGIA,HABERSHAM,Habersham,Hardwood,526,52,578,105,131,236,117,95,212,749,277,"1,026",43,0.78,0.45,0.80,18866,8780,4946,3834,7024,1756,GEORGIA_HABERSHAM
GA 2012,GEORGIA,HALL,Hall,Hardwood,554,60,614,112,139,251,125,100,225,791,299,"1,090",43,0.78,0.45,0.80,18866,9328,5254,4073,7462,1866,GEORGIA_HALL
GA 2012,GEORGIA,HANCOCK,Hancock,Hardwood,"2,483",194,"2,677",487,607,"1,094",544,438,982,"3,514","1,239","4,753",43,0.78,0.45,0.80,18866,40675,22909,17766,32540,8135,GEORGIA_HANCOCK
GA 2012,GEORGIA,HARALSON,Haralson,Hardwood,"1,107",127,"1,234",224,280,504,250,202,452,"1,582",608,"2,190",43,0.78,0.45,0.80,18866,18741,10560,8181,14993,3748,GEORGIA_HARALSON
GA 2012,GEORGIA,HARRIS,Harris,Hardwood,"1,266",117,"1,383",251,314,565,281,226,507,"1,798",657,"2,455",43,0.78,0.45,0.80,18866,21009,11835,9174,16807,4202,GEORGIA_HARRIS
GA 2012,GEORGIA,HART,Hart,Hardwood,481,47,528,96,120,216,107,87,194,684,254,938,43,0.78,0.45,0.80,18866,8027,4518,3509,6422,1605,GEORGIA_HART
GA 2012,GEORGIA,HEARD,Heard,Hardwood,395,37,432,79,98,177,88,71,159,562,206,768,43,0.78,0.45,0.80,18866,6572,3697,2875,5258,1314,GEORGIA_HEARD
GA 2012,GEORGIA,HENRY,Henry,Hardwood,"1,219",118,"1,337",243,303,546,271,219,490,"1,734",639,"2,373",43,0.78,0.45,0.80,18866,20307,11442,8866,16246,4061,GEORGIA_HENRY
GA 2012,GEORGIA,HOUSTON,Houston,Hardwood,517,55,572,104,130,234,116,94,210,737,279,"1,016",43,0.78,0.45,0.80,18866,8695,4895,3800,6956,1739,GEORGIA_HOUSTON
GA 2012,GEORGIA,IRWIN,Irwin,Hardwood,505,54,559,101,127,228,114,91,205,720,272,992,43,0.78,0.45,0.80,18866,8489,4784,3705,6791,1698,GEORGIA_IRWIN
GA 2012,GEORGIA,JACKSON,Jackson,Hardwood,602,67,669,122,151,273,136,109,245,859,328,"1,187",43,0.78,0.45,0.80,18866,10158,5725,4433,8126,2032,GEORGIA_JACKSON
GA 2012,GEORGIA,JASPER,Jasper,Hardwood,"2,354",202,"2,556",465,579,"1,044",519,418,937,"3,338","1,199","4,537",43,0.78,0.45,0.80,18866,38826,21874,16953,31061,7765,GEORGIA_JASPER
GA 2012,GEORGIA,JEFF DAVIS,Jeff Davis,Hardwood,"1,350",199,"1,549",282,351,633,315,253,568,"1,946",804,"2,750",43,0.78,0.45,0.80,18866,23534,13256,10278,18827,4707,GEORGIA_JEFF DAVIS
GA 2012,GEORGIA,JEFFERSON,Jefferson,Hardwood,"2,938",243,"3,181",579,721,"1,300",646,520,"1,166","4,162","1,485","5,647",43,0.78,0.45,0.80,18866,48326,27222,21103,38660,9665,GEORGIA_JEFFERSON
GA 2012,GEORGIA,JENKINS,Jenkins,Hardwood,"2,202",180,"2,382",433,540,973,484,390,874,"3,119","1,110","4,229",43,0.78,0.45,0.80,18866,36191,20385,15806,28953,7238,GEORGIA_JENKINS
GA 2012,GEORGIA,JOHNSON,Johnson,Hardwood,"2,050",215,"2,265",412,513,925,460,371,831,"2,922","1,099","4,021",43,0.78,0.45,0.80,18866,34411,19383,15027,27529,6882,GEORGIA_JOHNSON
GA 2012,GEORGIA,JONES,Jones,Hardwood,970,90,"1,060",193,240,433,215,174,389,"1,378",504,"1,882",43,0.78,0.45,0.80,18866,16106,9071,7034,12885,3221,GEORGIA_JONES
GA 2012,GEORGIA,LAMAR,Lamar,Hardwood,"1,621",179,"1,800",328,408,736,366,294,660,"2,314",882,"3,196",43,0.78,0.45,0.80,18866,27351,15404,11947,21880,5470,GEORGIA_LAMAR
GA 2012,GEORGIA,LANIER,Lanier,Hardwood,123,28,151,28,34,62,30,25,55,181,87,268,43,0.78,0.45,0.80,18866,2293,1292,1001,1835,459,GEORGIA_LANIER
GA 2012,GEORGIA,LAURENS,Laurens,Hardwood,"5,126",648,"5,774","1,050","1,309","2,359","1,172",945,"2,117","7,349","2,901","10,250",43,0.78,0.45,0.80,18866,87717,49412,38304,70173,17543,GEORGIA_LAURENS
GA 2012,GEORGIA,LEE,Lee,Hardwood,484,76,560,102,127,229,114,91,205,700,294,994,43,0.78,0.45,0.80,18866,8506,4792,3714,6805,1701,GEORGIA_LEE
GA 2012,GEORGIA,LIBERTY,Liberty,Hardwood,"1,989",174,"2,163",393,491,884,439,354,793,"2,821","1,019","3,840",43,0.78,0.45,0.80,18866,32862,18510,14351,26289,6572,GEORGIA_LIBERTY
GA 2012,GEORGIA,LINCOLN,Lincoln,Hardwood,649,66,715,130,162,292,145,117,262,924,345,"1,269",43,0.78,0.45,0.80,18866,10860,6119,4741,8688,2172,GEORGIA_LINCOLN
GA 2012,GEORGIA,LONG,Long,Hardwood,"2,706",308,"3,014",548,683,"1,231",612,493,"1,105","3,866","1,484","5,350",43,0.78,0.45,0.80,18866,45784,25793,19991,36627,9157,GEORGIA_LONG
GA 2012,GEORGIA,LOWNDES,Lowndes,Hardwood,568,91,659,120,149,269,134,108,242,822,348,"1,170",43,0.78,0.45,0.80,18866,10013,5640,4373,8010,2003,GEORGIA_LOWNDES
GA 2012,GEORGIA,LUMPKIN,Lumpkin,Hardwood,163,11,174,32,39,71,35,29,64,230,79,309,43,0.78,0.45,0.80,18866,2644,1489,1155,2115,529,GEORGIA_LUMPKIN
GA 2012,GEORGIA,MACON,Macon,Hardwood,605,94,699,127,159,286,142,114,256,874,367,"1,241",43,0.78,0.45,0.80,18866,10620,5982,4638,8496,2124,GEORGIA_MACON
GA 2012,GEORGIA,MADISON,Madison,Hardwood,613,59,672,122,153,275,136,110,246,872,321,"1,193",43,0.78,0.45,0.80,18866,10209,5751,4459,8167,2042,GEORGIA_MADISON
GA 2012,GEORGIA,MARION,Marion,Hardwood,671,86,757,138,171,309,154,124,278,963,381,"1,344",43,0.78,0.45,0.80,18866,11502,6478,5023,9201,2300,GEORGIA_MARION
GA 2012,GEORGIA,MCDUFFIE,McDuffie,Hardwood,757,79,836,152,190,342,170,137,307,"1,079",406,"1,485",43,0.78,0.45,0.80,18866,12708,7154,5554,10167,2542,GEORGIA_MCDUFFIE
GA 2012,GEORGIA,MCINTOSH,McIntosh,Hardwood,940,104,"1,044",190,236,426,212,171,383,"1,342",511,"1,853",43,0.78,0.45,0.80,18866,15857,8934,6923,12686,3171,GEORGIA_MCINTOSH
GA 2012,GEORGIA,MERIWETHER,Meriwether,Hardwood,"1,450",139,"1,589",289,360,649,323,260,583,"2,061",760,"2,821",43,0.78,0.45,0.80,18866,24141,13598,10543,19313,4828,GEORGIA_MERIWETHER
GA 2012,GEORGIA,MILLER,Miller,Hardwood,410,45,455,83,103,186,92,75,167,585,223,808,43,0.78,0.45,0.80,18866,6915,3894,3021,5532,1383,GEORGIA_MILLER
GA 2012,GEORGIA,MITCHELL,Mitchell,Hardwood,382,38,420,77,95,172,85,69,154,543,203,746,43,0.78,0.45,0.80,18866,6384,3594,2790,5107,1277,GEORGIA_MITCHELL
GA 2012,GEORGIA,MONROE,Monroe,Hardwood,"2,389",215,"2,604",474,590,"1,064",529,426,955,"3,391","1,232","4,623",43,0.78,0.45,0.80,18866,39562,22284,17278,31650,7912,GEORGIA_MONROE
GA 2012,GEORGIA,MONTGOMERY,Montgomery,Hardwood,"1,386",234,"1,620",295,367,662,329,265,594,"2,010",866,"2,876",43,0.78,0.45,0.80,18866,24612,13864,10749,19690,4922,GEORGIA_MONTGOMERY
GA 2012,GEORGIA,MORGAN,Morgan,Hardwood,"1,010",101,"1,111",202,252,454,225,182,407,"1,437",535,"1,972",43,0.78,0.45,0.80,18866,16876,9508,7368,13501,3375,GEORGIA_MORGAN
GA 2012,GEORGIA,MURRAY,Murray,Hardwood,"1,652",165,"1,817",330,412,742,369,297,666,"2,351",874,"3,225",43,0.78,0.45,0.80,18866,27599,15549,12049,22079,5520,GEORGIA_MURRAY
GA 2012,GEORGIA,MUSCOGEE,Muscogee,Hardwood,620,490,"1,110",202,251,453,225,182,407,"1,047",923,"1,970",43,0.78,0.45,0.80,18866,16859,9499,7360,13487,3372,GEORGIA_MUSCOGEE
GA 2012,GEORGIA,NEWTON,Newton,Hardwood,491,48,539,98,122,220,110,88,198,698,259,957,43,0.78,0.45,0.80,18866,8190,4613,3577,6552,1638,GEORGIA_NEWTON
GA 2012,GEORGIA,OCONEE,Oconee,Hardwood,208,21,229,42,52,94,47,37,84,297,110,407,43,0.78,0.45,0.80,18866,3483,1960,1523,2786,697,GEORGIA_OCONEE
GA 2012,GEORGIA,OGLETHORPE,Oglethorpe,Hardwood,"1,261",110,"1,371",249,311,560,279,224,503,"1,788",646,"2,434",43,0.78,0.45,0.80,18866,20830,11733,9097,16664,4166,GEORGIA_OGLETHORPE
GA 2012,GEORGIA,PAULDING,Paulding,Hardwood,"1,435",153,"1,588",289,360,649,322,260,582,"2,047",772,"2,819",43,0.78,0.45,0.80,18866,24124,13590,10535,19299,4825,GEORGIA_PAULDING
GA 2012,GEORGIA,PEACH,Peach,Hardwood,107,12,119,21,27,48,24,19,43,152,58,210,43,0.78,0.45,0.80,18866,1797,1018,779,1438,359,GEORGIA_PEACH
GA 2012,GEORGIA,PICKENS,Pickens,Hardwood,506,46,552,101,125,226,112,90,202,719,261,980,43,0.78,0.45,0.80,18866,8387,4724,3663,6709,1677,GEORGIA_PICKENS
GA 2012,GEORGIA,PIERCE,Pierce,Hardwood,"2,046",220,"2,266",412,514,926,460,371,831,"2,918","1,105","4,023",43,0.78,0.45,0.80,18866,34428,19392,15036,27542,6886,GEORGIA_PIERCE
GA 2012,GEORGIA,PIKE,Pike,Hardwood,545,44,589,107,133,240,120,96,216,772,273,"1,045",43,0.78,0.45,0.80,18866,8943,5041,3902,7154,1789,GEORGIA_PIKE
GA 2012,GEORGIA,POLK,Polk,Hardwood,862,104,966,176,219,395,196,158,354,"1,234",481,"1,715",43,0.78,0.45,0.80,18866,14677,8267,6410,11741,2935,GEORGIA_POLK
GA 2012,GEORGIA,PULASKI,Pulaski,Hardwood,"1,093",93,"1,186",216,269,485,241,194,435,"1,550",556,"2,106",43,0.78,0.45,0.80,18866,18023,10149,7873,14418,3605,GEORGIA_PULASKI
GA 2012,GEORGIA,PUTNAM,Putnam,Hardwood,761,78,839,153,190,343,171,137,308,"1,084",406,"1,490",43,0.78,0.45,0.80,18866,12751,7180,5571,10201,2550,GEORGIA_PUTNAM
GA 2012,GEORGIA,QUITMAN,Quitman,Hardwood,183,20,203,37,46,83,42,33,75,261,100,361,43,0.78,0.45,0.80,18866,3089,1737,1352,2471,618,GEORGIA_QUITMAN
GA 2012,GEORGIA,RABUN,Rabun,Hardwood,345,29,374,68,85,153,76,61,137,489,175,664,43,0.78,0.45,0.80,18866,5682,3201,2482,4546,1136,GEORGIA_RABUN
GA 2012,GEORGIA,RANDOLPH,Randolph,Hardwood,752,84,836,152,190,342,170,137,307,"1,075",410,"1,485",43,0.78,0.45,0.80,18866,12708,7154,5554,10167,2542,GEORGIA_RANDOLPH
GA 2012,GEORGIA,RICHMOND,Richmond,Hardwood,"1,975",219,"2,194",399,497,896,445,359,804,"2,819","1,075","3,894",43,0.78,0.45,0.80,18866,33324,18776,14548,26659,6665,GEORGIA_RICHMOND
GA 2012,GEORGIA,ROCKDALE,Rockdale,Hardwood,62,4,66,12,15,27,13,11,24,87,30,117,43,0.78,0.45,0.80,18866,1001,565,436,801,200,GEORGIA_ROCKDALE
GA 2012,GEORGIA,SCHLEY,Schley,Hardwood,543,79,622,113,141,254,126,102,228,783,321,"1,104",43,0.78,0.45,0.80,18866,9448,5323,4125,7558,1890,GEORGIA_SCHLEY
GA 2012,GEORGIA,SCREVEN,Screven,Hardwood,"3,168",284,"3,452",628,782,"1,410",701,565,"1,266","4,497","1,631","6,128",43,0.78,0.45,0.80,18866,52442,29541,22900,41953,10488,GEORGIA_SCREVEN
GA 2012,GEORGIA,SEMINOLE,Seminole,Hardwood,252,23,275,50,62,112,56,45,101,358,130,488,43,0.78,0.45,0.80,18866,4176,2353,1823,3341,835,GEORGIA_SEMINOLE
GA 2012,GEORGIA,SPALDING,Spalding,Hardwood,370,27,397,72,90,162,81,65,146,523,182,705,43,0.78,0.45,0.80,18866,6033,3397,2636,4827,1207,GEORGIA_SPALDING
GA 2012,GEORGIA,STEPHENS,Stephens,Hardwood,544,47,591,108,134,242,120,97,217,772,278,"1,050",43,0.78,0.45,0.80,18866,8986,5058,3928,7188,1797,GEORGIA_STEPHENS
GA 2012,GEORGIA,STEWART,Stewart,Hardwood,"1,098",103,"1,201",219,272,491,244,197,441,"1,560",573,"2,133",43,0.78,0.45,0.80,18866,18254,10278,7976,14603,3651,GEORGIA_STEWART
GA 2012,GEORGIA,SUMTER,Sumter,Hardwood,463,77,540,98,123,221,110,88,198,671,288,959,43,0.78,0.45,0.80,18866,8207,4621,3586,6565,1641,GEORGIA_SUMTER
GA 2012,GEORGIA,TALBOT,Talbot,Hardwood,"1,434",123,"1,557",283,353,636,316,255,571,"2,034",730,"2,764",43,0.78,0.45,0.80,18866,23654,13324,10329,18923,4731,GEORGIA_TALBOT
GA 2012,GEORGIA,TALIAFERRO,Taliaferro,Hardwood,701,72,773,141,175,316,157,126,283,999,373,"1,372",43,0.78,0.45,0.80,18866,11741,6615,5126,9393,2348,GEORGIA_TALIAFERRO
GA 2012,GEORGIA,TATTNALL,Tattnall,Hardwood,"1,776",151,"1,927",350,437,787,392,315,707,"2,518",903,"3,421",43,0.78,0.45,0.80,18866,29276,16491,12785,23421,5855,GEORGIA_TATTNALL
GA 2012,GEORGIA,TAYLOR,Taylor,Hardwood,444,35,479,87,109,196,97,79,176,629,222,851,43,0.78,0.45,0.80,18866,7283,4099,3183,5826,1457,GEORGIA_TAYLOR
GA 2012,GEORGIA,TELFAIR,Telfair,Hardwood,"2,591",219,"2,810",511,637,"1,148",571,460,"1,031","3,673","1,316","4,989",43,0.78,0.45,0.80,18866,42695,24047,18647,34156,8539,GEORGIA_TELFAIR
GA 2012,GEORGIA,TERRELL,Terrell,Hardwood,48,29,77,14,17,31,16,12,28,77,59,136,43,0.78,0.45,0.80,18866,1164,659,505,931,233,GEORGIA_TERRELL
GA 2012,GEORGIA,THOMAS,Thomas,Hardwood,448,35,483,88,110,198,98,79,177,634,224,858,43,0.78,0.45,0.80,18866,7343,4133,3209,5874,1469,GEORGIA_THOMAS
GA 2012,GEORGIA,TIFT,Tift,Hardwood,"1,171",126,"1,297",236,294,530,264,212,476,"1,670",633,"2,303",43,0.78,0.45,0.80,18866,19708,11099,8609,15767,3942,GEORGIA_TIFT
GA 2012,GEORGIA,TOOMBS,Toombs,Hardwood,"2,537",228,"2,765",503,627,"1,130",562,452,"1,014","3,601","1,308","4,909",43,0.78,0.45,0.80,18866,42010,23662,18348,33608,8402,GEORGIA_TOOMBS
GA 2012,GEORGIA,TOWNS,Towns,Hardwood,83,9,92,16,21,37,19,15,34,118,45,163,43,0.78,0.45,0.80,18866,1395,787,608,1116,279,GEORGIA_TOWNS
GA 2012,GEORGIA,TREUTLEN,Treutlen,Hardwood,589,64,653,119,148,267,133,107,240,841,319,"1,160",43,0.78,0.45,0.80,18866,9927,5588,4339,7942,1985,GEORGIA_TREUTLEN
GA 2012,GEORGIA,TROUP,Troup,Hardwood,"3,685",385,"4,070",740,923,"1,663",826,666,"1,492","5,251","1,974","7,225",43,0.78,0.45,0.80,18866,61830,34830,27000,49464,12366,GEORGIA_TROUP
GA 2012,GEORGIA,TURNER,Turner,Hardwood,276,28,304,55,69,124,62,50,112,393,147,540,43,0.78,0.45,0.80,18866,4621,2602,2020,3697,924,GEORGIA_TURNER
GA 2012,GEORGIA,TWIGGS,Twiggs,Hardwood,"2,373",227,"2,600",473,589,"1,062",528,426,954,"3,374","1,242","4,616",43,0.78,0.45,0.80,18866,39502,22250,17252,31602,7900,GEORGIA_TWIGGS
GA 2012,GEORGIA,UNION,Union,Hardwood,196,17,213,39,48,87,43,35,78,278,100,378,43,0.78,0.45,0.80,18866,3235,1823,1412,2588,647,GEORGIA_UNION
GA 2012,GEORGIA,UPSON,Upson,Hardwood,"1,152",113,"1,265",230,287,517,257,207,464,"1,639",607,"2,246",43,0.78,0.45,0.80,18866,19221,10826,8395,15377,3844,GEORGIA_UPSON
GA 2012,GEORGIA,WALKER,Walker,Hardwood,675,70,745,135,169,304,151,122,273,962,360,"1,322",43,0.78,0.45,0.80,18866,11313,6376,4938,9051,2263,GEORGIA_WALKER
GA 2012,GEORGIA,WALTON,Walton,Hardwood,384,36,420,77,95,172,85,69,154,545,201,746,43,0.78,0.45,0.80,18866,6384,3594,2790,5107,1277,GEORGIA_WALTON
GA 2012,GEORGIA,WARE,Ware,Hardwood,"1,931",226,"2,157",392,489,881,438,353,791,"2,762","1,067","3,829",43,0.78,0.45,0.80,18866,32768,18459,14309,26214,6554,GEORGIA_WARE
GA 2012,GEORGIA,WARREN,Warren,Hardwood,683,70,753,137,171,308,153,123,276,973,364,"1,337",43,0.78,0.45,0.80,18866,11442,6444,4998,9153,2288,GEORGIA_WARREN
GA 2012,GEORGIA,WASHINGTON,Washington,Hardwood,"3,781",321,"4,102",746,930,"1,676",833,671,"1,504","5,360","1,922","7,282",43,0.78,0.45,0.80,18866,62317,35104,27214,49854,12463,GEORGIA_WASHINGTON
GA 2012,GEORGIA,WAYNE,Wayne,Hardwood,899,100,999,182,226,408,203,163,366,"1,283",490,"1,773",43,0.78,0.45,0.80,18866,15173,8549,6624,12138,3035,GEORGIA_WAYNE
GA 2012,GEORGIA,WEBSTER,Webster,Hardwood,569,76,645,118,146,264,131,106,237,818,328,"1,146",43,0.78,0.45,0.80,18866,9807,5520,4287,7846,1961,GEORGIA_WEBSTER
GA 2012,GEORGIA,WHEELER,Wheeler,Hardwood,"1,777",147,"1,924",350,436,786,391,315,706,"2,518",898,"3,416",43,0.78,0.45,0.80,18866,29233,16465,12768,23387,5847,GEORGIA_WHEELER
GA 2012,GEORGIA,WHITE,White,Hardwood,219,18,237,43,54,97,48,39,87,310,111,421,43,0.78,0.45,0.80,18866,3603,2028,1575,2882,721,GEORGIA_WHITE
GA 2012,GEORGIA,WHITFIELD,Whitfield,Hardwood,808,75,883,161,200,361,179,145,324,"1,148",420,"1,568",43,0.78,0.45,0.80,18866,13419,7556,5862,10735,2684,GEORGIA_WHITFIELD
GA 2012,GEORGIA,WILCOX,Wilcox,Hardwood,997,86,"1,083",197,245,442,220,177,397,"1,413",509,"1,922",43,0.78,0.45,0.80,18866,16448,9268,7180,13158,3290,GEORGIA_WILCOX
GA 2012,GEORGIA,WILKES,Wilkes,Hardwood,"2,477",207,"2,684",488,609,"1,097",545,439,984,"3,511","1,254","4,765",43,0.78,0.45,0.80,18866,40778,22969,17809,32622,8156,GEORGIA_WILKES
GA 2012,GEORGIA,WILKINSON,Wilkinson,Hardwood,"3,940",388,"4,328",787,981,"1,768",879,708,"1,587","5,605","2,078","7,683",43,0.78,0.45,0.80,18866,65749,37038,28711,52599,13150,GEORGIA_WILKINSON
GA 2012,GEORGIA,WORTH,Worth,Hardwood,379,41,420,77,95,172,85,69,154,541,205,746,43,0.78,0.45,0.80,18866,6384,3594,2790,5107,1277,GEORGIA_WORTH
IA 2012,IOWA,ADAIR,Adair,Hardwood,3,59,62,0,0,0,76,431,507,78,490,569,43,0.78,0.45,0.80,18866,4869,531,4339,3895,974,IOWA_ADAIR
IA 2012,IOWA,ADAMS,Adams,Hardwood,1,34,35,0,0,0,0,0,0,1,34,35,43,0.78,0.45,0.80,18866,300,300,0,240,60,IOWA_ADAMS
IA 2012,IOWA,ALLAMAKEE,Allamakee,Hardwood,"2,081",799,"2,880",514,"1,217","1,732","2,429",145,"2,574","5,024","2,162","7,186",43,0.78,0.45,0.80,18866,61496,24646,36850,49197,12299,IOWA_ALLAMAKEE
IA 2012,IOWA,APPANOOSE,Appanoose,Hardwood,210,123,333,55,128,183,0,0,0,265,251,516,43,0.78,0.45,0.80,18866,4416,2850,1566,3533,883,IOWA_APPANOOSE
IA 2012,IOWA,AUDUBON,Audubon,Hardwood,2,50,52,0,0,0,0,0,0,2,50,52,43,0.78,0.45,0.80,18866,445,445,0,356,89,IOWA_AUDUBON
IA 2012,IOWA,BENTON,Benton,Hardwood,45,106,151,13,30,43,0,278,278,58,415,473,43,0.78,0.45,0.80,18866,4048,1292,2756,3238,810,IOWA_BENTON
IA 2012,IOWA,BLACK HAWK,Black Hawk,Hardwood,24,516,540,1,2,2,"1,042",88,"1,130","1,066",605,"1,672",43,0.78,0.45,0.80,18866,14309,4621,9687,11447,2862,IOWA_BLACK HAWK
IA 2012,IOWA,BOONE,Boone,Hardwood,12,127,139,3,6,8,0,0,0,14,133,147,43,0.78,0.45,0.80,18866,1258,1190,68,1006,252,IOWA_BOONE
IA 2012,IOWA,BREMER,Bremer,Hardwood,8,97,105,2,4,6,0,0,0,10,101,111,43,0.78,0.45,0.80,18866,950,899,51,760,190,IOWA_BREMER
IA 2012,IOWA,BUCHANAN,Buchanan,Hardwood,7,87,94,1,2,3,0,0,0,8,89,97,43,0.78,0.45,0.80,18866,830,804,26,664,166,IOWA_BUCHANAN
IA 2012,IOWA,BUENA VISTA,Buena Vista,Hardwood,6,124,130,0,0,0,959,8,967,964,133,"1,097",43,0.78,0.45,0.80,18866,9388,1113,8275,7510,1878,IOWA_BUENA VISTA
IA 2012,IOWA,BUTLER,Butler,Hardwood,46,77,123,12,27,39,0,0,0,57,105,162,43,0.78,0.45,0.80,18866,1386,1053,334,1109,277,IOWA_BUTLER
IA 2012,IOWA,CALHOUN,Calhoun,Hardwood,4,75,79,0,0,0,0,0,0,4,75,79,43,0.78,0.45,0.80,18866,676,676,0,541,135,IOWA_CALHOUN
IA 2012,IOWA,CARROLL,Carroll,Hardwood,7,132,139,0,0,0,0,0,0,7,132,139,43,0.78,0.45,0.80,18866,1190,1190,0,952,238,IOWA_CARROLL
IA 2012,IOWA,CASS,Cass,Hardwood,5,109,114,0,0,0,0,0,0,5,109,114,43,0.78,0.45,0.80,18866,976,976,0,780,195,IOWA_CASS
IA 2012,IOWA,CEDAR,Cedar,Hardwood,29,84,112,8,20,28,0,0,0,37,103,140,43,0.78,0.45,0.80,18866,1198,958,240,958,240,IOWA_CEDAR
IA 2012,IOWA,CERRO GORDO,Cerro Gordo,Hardwood,12,315,328,0,0,0,0,0,0,12,315,328,43,0.78,0.45,0.80,18866,2807,2807,0,2246,561,IOWA_CERRO GORDO
IA 2012,IOWA,CHEROKEE,Cherokee,Hardwood,4,94,99,0,0,0,0,0,0,4,94,99,43,0.78,0.45,0.80,18866,847,847,0,678,169,IOWA_CHEROKEE
IA 2012,IOWA,CHICKASAW,Chickasaw,Hardwood,3,58,61,0,1,2,0,0,0,4,59,63,43,0.78,0.45,0.80,18866,539,522,17,431,108,IOWA_CHICKASAW
IA 2012,IOWA,CLARKE,Clarke,Hardwood,7,45,52,2,4,6,0,0,0,8,49,57,43,0.78,0.45,0.80,18866,488,445,43,390,98,IOWA_CLARKE
IA 2012,IOWA,CLAY,Clay,Hardwood,6,123,128,0,0,0,0,0,0,6,123,128,43,0.78,0.45,0.80,18866,1095,1095,0,876,219,IOWA_CLAY
