NAME_2,STATE_NA_1,Land resource area,Pasture_grassland_mean_npp(gC/m2/yr),Grassland/Pasture NPP percetage of LRRs,HANPP_grazing(gC/m2/yr)Site_speific,Grassland/Pasture area_Acres,Grassland/Pasture area_m2,HANPP_grazing_Tonnes(Site specific),County_Area_m2,HANPP_grazing_gC/m2/yr(County),HANPP_grazing_Tonnes(County)
Nueces,Texas,"Atlantic , gulf coast lowland",473.6239,9.68,45.84679352,24602.4,99562468.46,4564.619934,2258070016,2.021469619,4564.619934
Victoria,Texas,"Atlantic , gulf coast lowland",392.883898,9.68,38.03116133,266053.6,1076681672,40947.45435,2302060032,17.78730953,40947.45435
Matagorda,Texas,"Atlantic , gulf coast lowland",671.017289,9.68,64.95447358,226245.2,915582650.1,59471.18905,3581009920,16.60737903,59471.18905
Wharton,Texas,"Atlantic , gulf coast lowland",593.907772,9.68,57.49027233,151174.5,611782037.1,35171.51592,2834149888,12.40989973,35171.51592
Colorado,Texas,"Atlantic , gulf coast lowland",428.834514,9.68,41.51118096,216763.4,877211132.9,36414.07007,2521530112,14.44125926,36414.07007
Waller,Texas,"Atlantic , gulf coast lowland",459.10903,9.68,44.4417541,186515.5,754802116.3,33544.73005,1341180032,25.01135511,33544.73005
Liberty,Texas,"Atlantic , gulf coast lowland",549.865745,9.68,53.22700412,177647.1,718912943.1,38265.58218,3046980096,12.55852712,38265.58218
Chambers,Texas,"Atlantic , gulf coast lowland",686.652643,9.68,66.46797584,114453.6,463177695.7,30786.48389,1650230016,18.65587439,30786.48389
San Patricio,Texas,"Atlantic , gulf coast lowland",450.322455,9.68,43.59121364,40997.8,165912356.9,7232.320996,1828950016,3.954356835,7232.320996
Jackson,Texas,"Atlantic , gulf coast lowland",481.288083,9.68,46.58868643,192336.5,778358888.4,36262.71818,2219219968,16.34029916,36262.71818
Refugio,Texas,"Atlantic , gulf coast lowland",377.722938,9.68,36.5635804,134546.1,544489230.2,19908.47575,2034640000,9.784765731,19908.47575
Calhoun,Texas,"Atlantic , gulf coast lowland",514.557921,9.68,49.80920675,89569,362473203.3,18054.50273,1934680064,9.332035339,18054.50273
Willacy,Texas,"Atlantic , gulf coast lowland",414.62146,9.68,40.13535733,55984.1,226559814.9,9093.059128,1639900032,5.544886244,9093.059128
Kenedy,Texas,"Atlantic , gulf coast lowland",311.87965,9.68,30.18995012,471538.9,1908251913,57610.03007,3998200064,14.40899133,57610.03007
Harris,Texas,"Atlantic , gulf coast lowland",506.978,9.68,49.0754704,156513.8,633389436.7,31083.88455,4589429760,6.772929574,31083.88455
Fort Bend,Texas,"Atlantic , gulf coast lowland",511.018123,9.68,49.46655431,176565.6,714536264,35345.64691,2292829952,15.41572975,35345.64691
Brazoria,Texas,"Atlantic , gulf coast lowland",548.848,9.68,53.1284864,220575.2,892636953.9,47424.45026,3777999872,12.55279298,47424.45026
Galvestone,Texas,"Atlantic , gulf coast lowland",608.707,9.68,58.9228376,31899.2,129091596.5,7606.443177,1085469952,7.007511505,7606.443177
Jefferson,Texas,"Atlantic , gulf coast lowland",687.0856,9.68,66.50988608,154965.5,627123683.3,41709.92474,2552689920,16.33959707,41709.92474
Isle of Wight,Virginia,"Atlantic , gulf coast lowland",978.390968,9.68,94.7082457,906.7,3669287.962,347.5118259,835720000,0.415823273,347.5118259
Suffolk,Virginia,"Atlantic , gulf coast lowland",958.770408,9.68,92.80897549,458.6,1855889.996,172.2432492,1078179968,0.159753709,172.2432492
Virginia Beach,Virginia,"Atlantic , gulf coast lowland",1189.695459,9.68,115.1625204,70.9,286922.374,33.04270376,794278016,0.04160093,33.04270376
Chesapeake,Virginia,"Atlantic , gulf coast lowland",1070.105009,9.68,103.5861649,39.8,161065.028,16.68410855,908792000,0.018358556,16.68410855
Northampton,Virginia,"Atlantic , gulf coast lowland",1314.288883,9.68,127.2231639,8,32374.88,4.118834664,897089984,0.004591328,4.118834664
Accomack,Virginia,"Atlantic , gulf coast lowland",1368.178248,9.68,132.4396544,20,80937.2,10.7192948,1458630016,0.007348879,10.7192948
Taylor,Florida,"Atlantic , gulf coast lowland",508.571606,9.68,49.22973146,22898.9,92668642.45,4562.052383,2728549888,1.67196957,4562.052383
