,,,,,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,gC/m2/yr ,
County,State,ID,Year,Area m2,Alfalfa,Corn Grain,Corn Silage,Cotton Pima,Cotton Upland,Haylage,Sorghum,Soybeans,Wheat Winter,Wheat Spring Durum,Wheat Excl Duram,Crops Other,Total crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Grazing Private Land,Total Grazing,Total HANPP Harvest,Alfalfa,Corn Grain,Corn Silage,Cotton Pima,Cotton Upland,Haylage,Sorghum,Soybeans,Wheat Winter,Wheat Spring,Wheat Excl Duram,Crops Other,Total crops,Hardwood,Softwood,Total Timber,USFS Grazing,BLM Grazing,Grazing Private Land,Total Grazing,Total HANPP Harvest,NPP 2012,NPP Percent
ALLEGHANY,VIRGINIA,VIRGINIA_ALLEGHANY,2012,1165149952,816.6547,883.7254,,0,,,0,0,90.23518,,,,1790.61528,121990.4554,7995.755051,129986.2105,,,,0,131776.8257,0.700900943,0.75846495,0,0,0,0,0,0,0.077445122,0,0,0,1.536811015,104.699361,6.86243E-06,104.6993679,,0,,0,113.0985977,630.195672,17.95
ALLEGHANY,NORTH CAROLINA,NORTH CAROLINA_ALLEGHANY,2012,610915008,,597.3607,,0,,,0,0,680.8086,,,,1278.1693,26032.6177,6349.746873,32382.36457,,,,0,33660.53387,0,0.977813104,0,0,0,0,0,0,1.114408045,0,0,0,2.092221149,42.61250315,1.03938E-05,42.61251354,,0,,0,55.09855452,663.156618,8.31
ALLEGHENY,PENNSYLVANIA,PENNSYLVANIA_ALLEGHENY,2012,1928179968,3413.25,2209.783,,0,,,0,556.9695,,,,,6180.0025,11150.72349,18.02198734,11168.74548,,,,0,17348.74798,1.770192646,1.146046031,0,0,0,0,0,0.288857632,0,0,0,0,3.20509631,5.783030463,9.34663E-09,5.783030472,,0,,0,8.997473403,688.172418,1.31
ALLEN,OHIO,OHIO_ALLEN,2012,1054099968,5009.175,169232.9,,0,,,0,118661.4,20455.88,,,,313359.355,4595.501547,,4595.501547,,,,0,317954.8565,4.752087233,160.5472964,0,0,0,0,0,112.5712965,19.4060152,0,0,0,297.2766953,4.359644898,,4.359644898,,0,,0,301.6363402,506.142115,59.60
ALLEN,INDIANA,INDIANA_ALLEN,2012,1709430016,25148.15,186379.1,,0,,,0,139397.2,26315.52,,,,377239.97,25818.67443,1171.429177,26990.10361,,,,0,404230.0736,14.71142414,109.029968,0,0,0,0,0,81.54601165,15.39432428,0,0,0,220.6817281,15.10367443,6.85275E-07,15.10367512,,0,,0,236.4706773,808.390336,29.25
ALLEN,LOUISIANA,LOUISIANA_ALLEN,2012,1984480000,,,,0,,,50.44804,5247.567,,,,,5298.01504,47512.52251,153637.4421,201149.9646,,,,0,206447.9797,0,0,0,0,0,0,0.025421289,2.644303294,0,0,0,0,2.669724583,23.94205158,7.74195E-05,23.942129,,0,,0,104.0312725,467.65909,22.25
ALLEN,KANSAS,KANSAS_ALLEN,2012,1308569984,1002.717,28484.75,,0,,,354.6865,19340.99,37034.27,,,,86217.4135,556.252515,,556.252515,,,,0,86773.66602,0.766269296,21.76784608,0,0,0,0,0.271048935,14.78024885,28.30132928,0,0,0,65.88674244,0.425084269,,0.425084269,,0,,0,66.31182671,519.190842,12.77
ALLEN,KENTUCKY,KENTUCKY_ALLEN,2012,911782016,2310.712,8405.692,,0,,,0,6076.253,,,,,16792.657,51106.76953,,51106.76953,,,,0,67899.42653,2.534281176,9.21897104,0,0,0,0,0,6.664150963,0,0,0,0,18.41740318,56.05152178,,56.05152178,,0,,0,74.46892496,864.549024,8.61
ALLENDALE,SOUTH CAROLINA,SOUTH CAROLINA_ALLENDALE,2012,1068649984,,21253.18,,0,2587.099,,0,5032.016,12262.22,,,,41134.515,26366.36921,123306.4374,149672.8066,,,,0,190807.3216,0,19.88787753,0,0,2.42090398,0,0,4.708759721,11.47449603,0,0,0,38.49203726,24.6725959,0.000115385,24.67271129,,0,,0,178.5498755,533.850943,33.45
ALPENA,MICHIGAN,MICHIGAN_ALPENA,2012,1550050048,,13302.03,,0,,,0,6945.599,7868.257,,,,28115.886,47298.57924,10789.16309,58087.74233,,,,0,86203.62833,0,8.581677745,0,0,0,0,0,4.480886929,5.076130935,0,0,0,18.13869561,30.51422714,6.96053E-06,30.5142341,,0,,0,55.61344838,586.841304,9.48
