State,States,COUNTY,County,Species_Group,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_rowing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Hardwood_Density_lb_ft3,Df,CC,Percentshoot,HANPP_lb_C_perthousand_cubicfeet,TotalHANPP_Harvest_in_Tonnes,HANPP_harvest_used_in_Tonnes,HANPP_Harvest_unused_in_Tonnes,HANPP_Harvest_above_ground_in_Tonnes,HANPP_Harvest_below_ground_in_Tonnes,Stcnty
MO 1997,MISSOURI,SHANNON,Shannon,Hardwood,"5,965","1,560","7,524","1,500","3,741","5,241",34,12,46,"7,499","5,312","12,811",43,0.78,0.45,0.80,18866,109633,64388,45245,87706,21927,MISSOURI_SHANNON
MO 1997,MISSOURI,SHELBY,Shelby,Hardwood,243,102,346,65,159,225,0,0,0,309,262,570,43,0.78,0.45,0.80,18866,4878,2961,1917,3902,976,MISSOURI_SHELBY
MO 1997,MISSOURI,ST. CHARLES,St. Charles,Hardwood,"2,000","1,317","3,317",449,"1,136","1,584",621,708,"1,329","3,069","3,161","6,230",43,0.78,0.45,0.80,18866,53315,28386,24929,42652,10663,MISSOURI_ST. CHARLES
MO 1997,MISSOURI,ST. CLAIR,St. Clair,Hardwood,99,121,219,29,77,106,0,0,0,127,198,325,43,0.78,0.45,0.80,18866,2781,1874,907,2225,556,MISSOURI_ST. CLAIR
MO 1997,MISSOURI,ST. FRANCOIS,St. Francois,Hardwood,295,249,544,73,171,244,0,0,0,368,420,788,43,0.78,0.45,0.80,18866,6743,4655,2088,5395,1349,MISSOURI_ST. FRANCOIS
MO 1997,MISSOURI,ST. LOUIS,St. Louis,Hardwood,168,"2,939","3,107",45,104,149,"1,526","1,198","2,724","1,739","4,241","5,980",43,0.78,0.45,0.80,18866,51175,26589,24586,40940,10235,MISSOURI_ST. LOUIS
MO 1997,MISSOURI,STE. GENEVIEVE,Ste. Genevieve,Hardwood,441,295,736,107,255,362,0,0,0,548,551,"1,099",43,0.78,0.45,0.80,18866,9405,6298,3106,7524,1881,MISSOURI_STE. GENEVIEVE
MO 1997,MISSOURI,STODDARD,Stoddard,Hardwood,514,217,732,139,357,497,0,0,0,653,575,"1,228",43,0.78,0.45,0.80,18866,10509,6264,4245,8407,2102,MISSOURI_STODDARD
MO 1997,MISSOURI,STONE,Stone,Hardwood,180,248,428,44,106,150,"1,016","1,606","2,622","1,240","1,961","3,200",43,0.78,0.45,0.80,18866,27385,3663,23722,21908,5477,MISSOURI_STONE
MO 1997,MISSOURI,SULLIVAN,Sullivan,Hardwood,394,251,644,100,271,370,0,0,0,493,522,"1,015",43,0.78,0.45,0.80,18866,8686,5511,3175,6949,1737,MISSOURI_SULLIVAN
MO 1997,MISSOURI,TANEY,Taney,Hardwood,356,506,863,61,151,213,"1,530","2,318","3,847","1,947","2,976","4,923",43,0.78,0.45,0.80,18866,42130,7385,34744,33704,8426,MISSOURI_TANEY
MO 1997,MISSOURI,TEXAS,Texas,Hardwood,"2,765","1,561","4,326",636,"1,531","2,166",612,"1,516","2,128","4,013","4,608","8,621",43,0.78,0.45,0.80,18866,73776,37021,36755,59021,14755,MISSOURI_TEXAS
MO 1997,MISSOURI,VERNON,Vernon,Hardwood,267,280,547,82,225,306,0,10,10,348,514,863,43,0.78,0.45,0.80,18866,7385,4681,2704,5908,1477,MISSOURI_VERNON
MO 1997,MISSOURI,WARREN,Warren,Hardwood,935,311,"1,246",239,500,739,0,0,0,"1,174",811,"1,985",43,0.78,0.45,0.80,18866,16987,10663,6324,13590,3397,MISSOURI_WARREN
MO 1997,MISSOURI,WASHINGTON,Washington,Hardwood,"3,259",841,"4,099",817,"2,018","2,835",0,0,0,"4,076","2,858","6,934",43,0.78,0.45,0.80,18866,59339,35078,24261,47471,11868,MISSOURI_WASHINGTON
MO 1997,MISSOURI,WAYNE,Wayne,Hardwood,"4,307","1,163","5,470",970,"2,377","3,347",215,122,337,"5,493","3,661","9,154",43,0.78,0.45,0.80,18866,78337,46811,31527,62670,15667,MISSOURI_WAYNE
MO 1997,MISSOURI,WEBSTER,Webster,Hardwood,924,667,"1,591",212,509,721,44,219,264,"1,181","1,395","2,576",43,0.78,0.45,0.80,18866,22045,13615,8429,17636,4409,MISSOURI_WEBSTER
MO 1997,MISSOURI,WORTH,Worth,Hardwood,143,62,205,34,95,129,0,0,0,176,158,334,43,0.78,0.45,0.80,18866,2858,1754,1104,2287,572,MISSOURI_WORTH
MO 1997,MISSOURI,WRIGHT,Wright,Hardwood,"2,028",453,"2,480",536,"1,326","1,861",82,431,513,"2,645","2,209","4,854",43,0.78,0.45,0.80,18866,41539,21223,20316,33231,8308,MISSOURI_WRIGHT
MS 1997,MISSISSIPPI,ADAMS,Adams,Hardwood,"8,163","1,378","9,541",850,"2,559","3,409",670,419,"1,089","9,683","4,356","14,039",43,0.78,0.45,0.80,18866,120142,81649,38493,96114,24028,MISSISSIPPI_ADAMS
MS 1997,MISSISSIPPI,ALCORN,Alcorn,Hardwood,"3,320",540,"3,860",344,"1,035","1,379",271,169,440,"3,935","1,744","5,679",43,0.78,0.45,0.80,18866,48599,33033,15567,38879,9720,MISSISSIPPI_ALCORN
MS 1997,MISSISSIPPI,AMITE,Amite,Hardwood,"7,290","1,291","8,581",765,"2,301","3,066",603,376,979,"8,658","3,968","12,626",43,0.78,0.45,0.80,18866,108050,73434,34616,86440,21610,MISSISSIPPI_AMITE
MS 1997,MISSISSIPPI,ATTALA,Attala,Hardwood,"8,505","1,342","9,847",878,"2,640","3,518",691,432,"1,123","10,074","4,414","14,488",43,0.78,0.45,0.80,18866,123984,84268,39716,99188,24797,MISSISSIPPI_ATTALA
MS 1997,MISSISSIPPI,BENTON,Benton,Hardwood,"4,549",557,"5,106",455,"1,369","1,824",359,224,583,"5,363","2,150","7,513",43,0.78,0.45,0.80,18866,64294,43696,20598,51435,12859,MISSISSIPPI_BENTON
MS 1997,MISSISSIPPI,BOLIVAR,Bolivar,Hardwood,646,104,750,67,201,268,53,33,86,765,339,"1,104",43,0.78,0.45,0.80,18866,9448,6418,3029,7558,1890,MISSISSIPPI_BOLIVAR
MS 1997,MISSISSIPPI,CALHOUN,Calhoun,Hardwood,"3,087",401,"3,488",311,935,"1,246",245,153,398,"3,643","1,489","5,132",43,0.78,0.45,0.80,18866,43918,29849,14069,35135,8784,MISSISSIPPI_CALHOUN
MS 1997,MISSISSIPPI,CARROLL,Carroll,Hardwood,"2,897",460,"3,357",299,901,"1,200",236,147,383,"3,432","1,508","4,940",43,0.78,0.45,0.80,18866,42275,28728,13547,33820,8455,MISSISSIPPI_CARROLL
MS 1997,MISSISSIPPI,CHICKASAW,Chickasaw,Hardwood,"1,980",190,"2,170",194,582,776,153,95,248,"2,327",867,"3,194",43,0.78,0.45,0.80,18866,27333,18570,8763,21867,5467,MISSISSIPPI_CHICKASAW
MS 1997,MISSISSIPPI,CHOCTAW,Choctaw,Hardwood,"8,703","1,455","10,158",906,"2,724","3,630",713,446,"1,159","10,322","4,625","14,947",43,0.78,0.45,0.80,18866,127912,86929,40983,102330,25582,MISSISSIPPI_CHOCTAW
MS 1997,MISSISSIPPI,CLAIBORNE,Claiborne,Hardwood,"9,525","1,418","10,943",975,"2,935","3,910",769,480,"1,249","11,269","4,833","16,102",43,0.78,0.45,0.80,18866,137797,93647,44149,110237,27559,MISSISSIPPI_CLAIBORNE
MS 1997,MISSISSIPPI,CLARKE,Clarke,Hardwood,"12,690","2,319","15,009","1,338","4,025","5,363","1,054",658,"1,712","15,082","7,002","22,084",43,0.78,0.45,0.80,18866,188989,128443,60546,151191,37798,MISSISSIPPI_CLARKE
MS 1997,MISSISSIPPI,CLAY,Clay,Hardwood,"2,264",375,"2,639",235,708,943,185,116,301,"2,685","1,198","3,883",43,0.78,0.45,0.80,18866,33230,22584,10646,26584,6646,MISSISSIPPI_CLAY
MS 1997,MISSISSIPPI,COAHOMA,Coahoma,Hardwood,619,52,671,60,180,240,47,30,77,727,261,988,43,0.78,0.45,0.80,18866,8455,5742,2713,6764,1691,MISSISSIPPI_COAHOMA
MS 1997,MISSISSIPPI,COPIAH,Copiah,Hardwood,"10,055","1,498","11,553","1,030","3,098","4,128",811,507,"1,318","11,896","5,103","16,999",43,0.78,0.45,0.80,18866,145473,98867,46605,116378,29095,MISSISSIPPI_COPIAH
MS 1997,MISSISSIPPI,COVINGTON,Covington,Hardwood,"2,962",475,"3,437",306,922,"1,228",241,151,392,"3,510","1,547","5,057",43,0.78,0.45,0.80,18866,43276,29413,13864,34621,8655,MISSISSIPPI_COVINGTON
MS 1997,MISSISSIPPI,DESOTO,DeSoto,Hardwood,"2,097",190,"2,287",204,613,817,161,100,261,"2,461",904,"3,365",43,0.78,0.45,0.80,18866,28797,19572,9225,23037,5759,MISSISSIPPI_DESOTO
MS 1997,MISSISSIPPI,FORREST,Forrest,Hardwood,"1,828",292,"2,120",189,569,758,149,93,242,"2,167",953,"3,120",43,0.78,0.45,0.80,18866,26700,18142,8558,21360,5340,MISSISSIPPI_FORREST
MS 1997,MISSISSIPPI,FRANKLIN,Franklin,Hardwood,"8,606","1,498","10,104",901,"2,709","3,610",710,443,"1,153","10,216","4,651","14,867",43,0.78,0.45,0.80,18866,127228,86467,40760,101782,25446,MISSISSIPPI_FRANKLIN
MS 1997,MISSISSIPPI,GEORGE,George,Hardwood,"2,440",401,"2,841",253,762,"1,015",199,125,324,"2,893","1,287","4,180",43,0.78,0.45,0.80,18866,35771,24313,11459,28617,7154,MISSISSIPPI_GEORGE
MS 1997,MISSISSIPPI,GREENE,Greene,Hardwood,"4,695",812,"5,507",491,"1,477","1,968",387,241,628,"5,573","2,530","8,103",43,0.78,0.45,0.80,18866,69343,47127,22216,55475,13869,MISSISSIPPI_GREENE
MS 1997,MISSISSIPPI,GRENADA,Grenada,Hardwood,"5,291",939,"6,230",555,"1,671","2,226",438,273,711,"6,284","2,883","9,167",43,0.78,0.45,0.80,18866,78449,53315,25134,62759,15690,MISSISSIPPI_GRENADA
MS 1997,MISSISSIPPI,HANCOCK,Hancock,Hardwood,"2,013",347,"2,360",210,633,843,166,103,269,"2,389","1,083","3,472",43,0.78,0.45,0.80,18866,29712,20196,9516,23770,5942,MISSISSIPPI_HANCOCK
MS 1997,MISSISSIPPI,HARRISON,Harrison,Hardwood,"1,714",282,"1,996",178,535,713,140,88,228,"2,032",905,"2,937",43,0.78,0.45,0.80,18866,25134,17081,8053,20107,5027,MISSISSIPPI_HARRISON
MS 1997,MISSISSIPPI,HINDS,Hinds,Hardwood,"9,296","1,394","10,690",953,"2,867","3,820",751,469,"1,220","11,000","4,730","15,730",43,0.78,0.45,0.80,18866,134613,91482,43131,107690,26923,MISSISSIPPI_HINDS
MS 1997,MISSISSIPPI,HOLMES,Holmes,Hardwood,"8,625","1,489","10,114",902,"2,712","3,614",710,444,"1,154","10,237","4,645","14,882",43,0.78,0.45,0.80,18866,127356,86553,40803,101885,25471,MISSISSIPPI_HOLMES
MS 1997,MISSISSIPPI,HUMPHREYS,Humphreys,Hardwood,"2,253",400,"2,653",236,712,948,187,116,303,"2,676","1,228","3,904",43,0.78,0.45,0.80,18866,33409,22704,10706,26728,6682,MISSISSIPPI_HUMPHREYS
MS 1997,MISSISSIPPI,ISSAQUENA,Issaquena,Hardwood,"4,501",734,"5,235",467,"1,404","1,871",367,230,597,"5,335","2,368","7,703",43,0.78,0.45,0.80,18866,65920,44800,21120,52736,13184,MISSISSIPPI_ISSAQUENA
MS 1997,MISSISSIPPI,ITAWAMBA,Itawamba,Hardwood,"3,613",592,"4,205",375,"1,128","1,503",295,185,480,"4,283","1,905","6,188",43,0.78,0.45,0.80,18866,52955,35985,16970,42364,10591,MISSISSIPPI_ITAWAMBA
MS 1997,MISSISSIPPI,JACKSON,Jackson,Hardwood,"1,657",263,"1,920",171,515,686,135,84,219,"1,963",862,"2,825",43,0.78,0.45,0.80,18866,24176,16431,7745,19340,4835,MISSISSIPPI_JACKSON
MS 1997,MISSISSIPPI,JASPER,Jasper,Hardwood,"3,568",596,"4,164",371,"1,117","1,488",292,183,475,"4,232","1,895","6,127",43,0.78,0.45,0.80,18866,52433,35634,16799,41947,10487,MISSISSIPPI_JASPER
MS 1997,MISSISSIPPI,JEFFERSON,Jefferson,Hardwood,"6,947","1,213","8,160",727,"2,189","2,916",573,358,931,"8,248","3,759","12,007",43,0.78,0.45,0.80,18866,102753,69831,32922,82202,20551,MISSISSIPPI_JEFFERSON
MS 1997,MISSISSIPPI,JEFFERSON DAVIS,Jefferson Davis,Hardwood,"1,470",221,"1,691",151,453,604,119,74,193,"1,740",748,"2,488",43,0.78,0.45,0.80,18866,21292,14471,6821,17033,4258,MISSISSIPPI_JEFFERSON DAVIS
MS 1997,MISSISSIPPI,JONES,Jones,Hardwood,"3,530",568,"4,098",365,"1,099","1,464",288,180,468,"4,183","1,847","6,030",43,0.78,0.45,0.80,18866,51603,35070,16534,41282,10321,MISSISSIPPI_JONES
MS 1997,MISSISSIPPI,KEMPER,Kemper,Hardwood,"10,868","1,969","12,837","1,144","3,443","4,587",902,563,"1,465","12,914","5,975","18,889",43,0.78,0.45,0.80,18866,161647,109856,51791,129318,32329,MISSISSIPPI_KEMPER
MS 1997,MISSISSIPPI,LAFAYETTE,Lafayette,Hardwood,"3,778",511,"4,289",382,"1,151","1,533",301,188,489,"4,461","1,850","6,311",43,0.78,0.45,0.80,18866,54008,36704,17304,43206,10802,MISSISSIPPI_LAFAYETTE
MS 1997,MISSISSIPPI,LAMAR,Lamar,Hardwood,"2,095",336,"2,431",217,652,869,171,106,277,"2,482","1,095","3,577",43,0.78,0.45,0.80,18866,30611,20804,9807,24489,6122,MISSISSIPPI_LAMAR
MS 1997,MISSISSIPPI,LAUDERDALE,Lauderdale,Hardwood,"6,336","1,118","7,454",665,"1,999","2,664",523,327,850,"7,524","3,444","10,968",43,0.78,0.45,0.80,18866,93861,63789,30072,75089,18772,MISSISSIPPI_LAUDERDALE
MS 1997,MISSISSIPPI,LAWRENCE,Lawrence,Hardwood,"5,330",858,"6,188",552,"1,659","2,211",435,271,706,"6,316","2,789","9,105",43,0.78,0.45,0.80,18866,77918,52955,24963,62335,15584,MISSISSIPPI_LAWRENCE
MS 1997,MISSISSIPPI,LEAKE,Leake,Hardwood,"5,875","1,001","6,876",613,"1,844","2,457",483,301,784,"6,970","3,147","10,117",43,0.78,0.45,0.80,18866,86579,58843,27736,69263,17316,MISSISSIPPI_LEAKE
MS 1997,MISSISSIPPI,LEE,Lee,Hardwood,90,17,107,9,29,38,7,5,12,107,50,157,43,0.78,0.45,0.80,18866,1344,916,428,1075,269,MISSISSIPPI_LEE
MS 1997,MISSISSIPPI,LEFLORE,Leflore,Hardwood,"1,945",337,"2,282",204,612,816,160,100,260,"2,309","1,049","3,358",43,0.78,0.45,0.80,18866,28737,19529,9208,22989,5747,MISSISSIPPI_LEFLORE
MS 1997,MISSISSIPPI,LINCOLN,Lincoln,Hardwood,"6,692","1,088","7,780",694,"2,086","2,780",547,341,888,"7,932","3,516","11,448",43,0.78,0.45,0.80,18866,97969,66579,31390,78375,19594,MISSISSIPPI_LINCOLN
MS 1997,MISSISSIPPI,LOWNDES,Lowndes,Hardwood,"3,539",554,"4,093",365,"1,098","1,463",287,180,467,"4,191","1,832","6,023",43,0.78,0.45,0.80,18866,51543,35027,16516,41235,10309,MISSISSIPPI_LOWNDES
MS 1997,MISSISSIPPI,MADISON,Madison,Hardwood,"6,853",939,"7,792",695,"2,089","2,784",547,342,889,"8,095","3,370","11,465",43,0.78,0.45,0.80,18866,98114,66682,31433,78492,19623,MISSISSIPPI_MADISON
MS 1997,MISSISSIPPI,MARION,Marion,Hardwood,"3,504",575,"4,079",363,"1,094","1,457",286,179,465,"4,154","1,847","6,001",43,0.78,0.45,0.80,18866,51355,34907,16448,41084,10271,MISSISSIPPI_MARION
MS 1997,MISSISSIPPI,MARSHALL,Marshall,Hardwood,"6,597",965,"7,562",674,"2,028","2,702",531,332,863,"7,802","3,325","11,127",43,0.78,0.45,0.80,18866,95222,64714,30508,76177,19044,MISSISSIPPI_MARSHALL
MS 1997,MISSISSIPPI,MONROE,Monroe,Hardwood,"5,366",828,"6,194",552,"1,661","2,213",435,272,707,"6,353","2,761","9,114",43,0.78,0.45,0.80,18866,77995,53007,24989,62396,15599,MISSISSIPPI_MONROE
MS 1997,MISSISSIPPI,MONTGOMERY,Montgomery,Hardwood,"4,200",720,"4,920",439,"1,319","1,758",345,216,561,"4,984","2,255","7,239",43,0.78,0.45,0.80,18866,61949,42104,19845,49560,12390,MISSISSIPPI_MONTGOMERY
MS 1997,MISSISSIPPI,NESHOBA,Neshoba,Hardwood,"6,507","1,193","7,700",687,"2,065","2,752",541,338,879,"7,735","3,596","11,331",43,0.78,0.45,0.80,18866,96968,65895,31073,77574,19394,MISSISSIPPI_NESHOBA
MS 1997,MISSISSIPPI,NEWTON,Newton,Hardwood,"4,449",790,"5,239",467,"1,405","1,872",368,230,598,"5,284","2,425","7,709",43,0.78,0.45,0.80,18866,65972,44834,21138,52777,13194,MISSISSIPPI_NEWTON
MS 1997,MISSISSIPPI,NOXUBEE,Noxubee,Hardwood,"4,479",706,"5,185",462,"1,391","1,853",364,228,592,"5,306","2,324","7,630",43,0.78,0.45,0.80,18866,65295,44372,20924,52236,13059,MISSISSIPPI_NOXUBEE
MS 1997,MISSISSIPPI,OKTIBBEHA,Oktibbeha,Hardwood,"2,617",400,"3,017",269,809,"1,078",212,132,344,"3,098","1,341","4,439",43,0.78,0.45,0.80,18866,37988,25819,12169,30390,7598,MISSISSIPPI_OKTIBBEHA
MS 1997,MISSISSIPPI,PANOLA,Panola,Hardwood,"4,158",679,"4,837",431,"1,297","1,728",340,212,552,"4,928","2,189","7,117",43,0.78,0.45,0.80,18866,60905,41394,19512,48724,12181,MISSISSIPPI_PANOLA
MS 1997,MISSISSIPPI,PEARL RIVER,Pearl River,Hardwood,"5,284",969,"6,253",557,"1,677","2,234",439,274,713,"6,280","2,920","9,200",43,0.78,0.45,0.80,18866,78731,53511,25220,62985,15746,MISSISSIPPI_PEARL RIVER
MS 1997,MISSISSIPPI,PERRY,Perry,Hardwood,"1,779",301,"2,080",185,558,743,146,91,237,"2,111",949,"3,060",43,0.78,0.45,0.80,18866,26187,17800,8387,20949,5237,MISSISSIPPI_PERRY
MS 1997,MISSISSIPPI,PIKE,Pike,Hardwood,"2,945",539,"3,484",311,934,"1,245",244,153,397,"3,500","1,626","5,126",43,0.78,0.45,0.80,18866,43867,29815,14052,35094,8773,MISSISSIPPI_PIKE
MS 1997,MISSISSIPPI,PONTOTOC,Pontotoc,Hardwood,"2,529",305,"2,834",253,760,"1,013",199,124,323,"2,980","1,190","4,170",43,0.78,0.45,0.80,18866,35686,24253,11433,28549,7137,MISSISSIPPI_PONTOTOC
MS 1997,MISSISSIPPI,PRENTISS,Prentiss,Hardwood,"5,252",837,"6,089",543,"1,633","2,176",428,267,695,"6,223","2,737","8,960",43,0.78,0.45,0.80,18866,76677,52108,24569,61342,15335,MISSISSIPPI_PRENTISS
MS 1997,MISSISSIPPI,QUITMAN,Quitman,Hardwood,"1,001",137,"1,138",101,305,406,80,50,130,"1,182",492,"1,674",43,0.78,0.45,0.80,18866,14326,9739,4587,11461,2865,MISSISSIPPI_QUITMAN
MS 1997,MISSISSIPPI,RANKIN,Rankin,Hardwood,"8,116","1,061","9,177",818,"2,461","3,279",644,403,"1,047","9,578","3,925","13,503",43,0.78,0.45,0.80,18866,115555,78534,37021,92444,23111,MISSISSIPPI_RANKIN
MS 1997,MISSISSIPPI,SCOTT,Scott,Hardwood,"3,721",643,"4,364",389,"1,170","1,559",307,191,498,"4,416","2,005","6,421",43,0.78,0.45,0.80,18866,54949,37346,17603,43959,10990,MISSISSIPPI_SCOTT
MS 1997,MISSISSIPPI,SHARKEY,Sharkey,Hardwood,"4,283",636,"4,919",439,"1,319","1,758",345,216,561,"5,067","2,171","7,238",43,0.78,0.45,0.80,18866,61941,42095,19845,49553,12388,MISSISSIPPI_SHARKEY
MS 1997,MISSISSIPPI,SIMPSON,Simpson,Hardwood,"4,781",694,"5,475",488,"1,468","1,956",385,240,625,"5,654","2,402","8,056",43,0.78,0.45,0.80,18866,68941,46854,22088,55153,13788,MISSISSIPPI_SIMPSON
MS 1997,MISSISSIPPI,SMITH,Smith,Hardwood,"1,709",270,"1,979",176,531,707,139,87,226,"2,024",888,"2,912",43,0.78,0.45,0.80,18866,24920,16936,7984,19936,4984,MISSISSIPPI_SMITH
MS 1997,MISSISSIPPI,STONE,Stone,Hardwood,"1,537",294,"1,831",163,491,654,129,80,209,"1,829",865,"2,694",43,0.78,0.45,0.80,18866,23055,15669,7385,18444,4611,MISSISSIPPI_STONE
MS 1997,MISSISSIPPI,SUNFLOWER,Sunflower,Hardwood,165,31,196,17,53,70,14,8,22,196,92,288,43,0.78,0.45,0.80,18866,2465,1677,787,1972,493,MISSISSIPPI_SUNFLOWER
MS 1997,MISSISSIPPI,TALLAHATCHIE,Tallahatchie,Hardwood,"3,681",534,"4,215",376,"1,130","1,506",296,185,481,"4,352","1,850","6,202",43,0.78,0.45,0.80,18866,53075,36071,17004,42460,10615,MISSISSIPPI_TALLAHATCHIE
MS 1997,MISSISSIPPI,TATE,Tate,Hardwood,253,42,295,26,79,105,21,13,34,300,134,434,43,0.78,0.45,0.80,18866,3714,2525,1190,2971,743,MISSISSIPPI_TATE
MS 1997,MISSISSIPPI,TIPPAH,Tippah,Hardwood,"3,768",635,"4,403",392,"1,181","1,573",309,193,502,"4,470","2,008","6,478",43,0.78,0.45,0.80,18866,55437,37680,17757,44350,11087,MISSISSIPPI_TIPPAH
MS 1997,MISSISSIPPI,TISHOMINGO,Tishomingo,Hardwood,"5,678",878,"6,556",585,"1,758","2,343",460,288,748,"6,723","2,924","9,647",43,0.78,0.45,0.80,18866,82556,56104,26452,66045,16511,MISSISSIPPI_TISHOMINGO
MS 1997,MISSISSIPPI,TUNICA,Tunica,Hardwood,"1,199",101,"1,300",116,349,465,91,57,148,"1,406",507,"1,913",43,0.78,0.45,0.80,18866,16371,11125,5246,13097,3274,MISSISSIPPI_TUNICA
MS 1997,MISSISSIPPI,UNION,Union,Hardwood,"2,404",332,"2,736",244,734,978,192,120,312,"2,840","1,186","4,026",43,0.78,0.45,0.80,18866,34453,23414,11039,27563,6891,MISSISSIPPI_UNION
MS 1997,MISSISSIPPI,WALTHALL,Walthall,Hardwood,"2,923",478,"3,401",303,912,"1,215",239,149,388,"3,465","1,539","5,004",43,0.78,0.45,0.80,18866,42823,29105,13718,34258,8565,MISSISSIPPI_WALTHALL
MS 1997,MISSISSIPPI,WARREN,Warren,Hardwood,"7,197","1,245","8,442",753,"2,264","3,017",593,370,963,"8,542","3,880","12,422",43,0.78,0.45,0.80,18866,106304,72244,34060,85043,21261,MISSISSIPPI_WARREN
MS 1997,MISSISSIPPI,WASHINGTON,Washington,Hardwood,352,67,419,37,113,150,30,18,48,419,198,617,43,0.78,0.45,0.80,18866,5280,3586,1694,4224,1056,MISSISSIPPI_WASHINGTON
MS 1997,MISSISSIPPI,WAYNE,Wayne,Hardwood,"5,553",959,"6,512",581,"1,746","2,327",457,286,743,"6,591","2,991","9,582",43,0.78,0.45,0.80,18866,82000,55728,26272,65600,16400,MISSISSIPPI_WAYNE
MS 1997,MISSISSIPPI,WEBSTER,Webster,Hardwood,"2,779",376,"3,155",281,846,"1,127",222,138,360,"3,281","1,361","4,642",43,0.78,0.45,0.80,18866,39725,27000,12725,31780,7945,MISSISSIPPI_WEBSTER
MS 1997,MISSISSIPPI,WILKINSON,Wilkinson,Hardwood,"6,463","1,043","7,506",669,"2,013","2,682",527,329,856,"7,659","3,385","11,044",43,0.78,0.45,0.80,18866,94512,64234,30277,75609,18902,MISSISSIPPI_WILKINSON
MS 1997,MISSISSIPPI,WINSTON,Winston,Hardwood,"4,732",740,"5,472",488,"1,467","1,955",384,240,624,"5,604","2,447","8,051",43,0.78,0.45,0.80,18866,68898,46828,22070,55119,13780,MISSISSIPPI_WINSTON
MS 1997,MISSISSIPPI,YALOBUSHA,Yalobusha,Hardwood,"2,749",404,"3,153",281,846,"1,127",222,138,360,"3,252","1,388","4,640",43,0.78,0.45,0.80,18866,39708,26983,12725,31766,7942,MISSISSIPPI_YALOBUSHA
MS 1997,MISSISSIPPI,YAZOO,Yazoo,Hardwood,"11,393","1,703","13,096","1,167","3,512","4,679",920,574,"1,494","13,479","5,790","19,269",43,0.78,0.45,0.80,18866,164899,112072,52827,131919,32980,MISSISSIPPI_YAZOO
MT 1997,MONTANA,CARBON,Carbon,Hardwood,0,61,61,0,0,0,0,0,0,0,61,61,43,0.78,0.45,0.80,18866,522,522,0,418,104,MONTANA_CARBON
MT 1997,MONTANA,CUSTER,Custer,Hardwood,0,915,915,0,0,0,0,0,0,0,915,915,43,0.78,0.45,0.80,18866,7830,7830,0,6264,1566,MONTANA_CUSTER
MT 1997,MONTANA,DAWSON,Dawson,Hardwood,0,244,244,0,0,0,0,0,0,0,244,244,43,0.78,0.45,0.80,18866,2088,2088,0,1670,418,MONTANA_DAWSON
MT 1997,MONTANA,GALLATIN,Gallatin,Hardwood,0,122,122,0,0,0,0,0,0,0,122,122,43,0.78,0.45,0.80,18866,1044,1044,0,835,209,MONTANA_GALLATIN
MT 1997,MONTANA,PARK,Park,Hardwood,0,732,732,0,0,0,0,0,0,0,732,732,43,0.78,0.45,0.80,18866,6264,6264,0,5011,1253,MONTANA_PARK
MT 1997,MONTANA,RAVALLI,Ravalli,Hardwood,548,1,549,0,136,136,0,0,0,548,137,685,43,0.78,0.45,0.80,18866,5862,4698,1164,4690,1172,MONTANA_RAVALLI
MT 1997,MONTANA,ROSEBUD,Rosebud,Hardwood,1,0,1,0,0,0,0,0,0,1,1,1,43,0.78,0.45,0.80,18866,9,9,0,7,2,MONTANA_ROSEBUD
MT 1997,MONTANA,STILLWATER,Stillwater,Hardwood,15,46,61,0,4,4,0,0,0,15,50,65,43,0.78,0.45,0.80,18866,556,522,34,445,111,MONTANA_STILLWATER
MT 1997,MONTANA,SWEET GRASS,Sweet Grass,Hardwood,0,428,428,0,0,0,0,0,0,0,428,428,43,0.78,0.45,0.80,18866,3663,3663,0,2930,733,MONTANA_SWEET GRASS
MT 1997,MONTANA,YELLOWSTONE,Yellowstone,Hardwood,2,607,609,0,4,4,0,0,0,2,611,613,43,0.78,0.45,0.80,18866,5246,5212,34,4197,1049,MONTANA_YELLOWSTONE
NC 1997,NORTH CAROLINA,ALAMANCE,Alamance,Hardwood,"1,859",296,"2,155",258,222,480,260,166,426,"2,377",684,"3,061",43,0.78,0.45,0.80,18866,26195,18442,7753,20956,5239,NORTH CAROLINA_ALAMANCE
NC 1997,NORTH CAROLINA,ALEXANDER,Alexander,Hardwood,"1,807",302,"2,109",252,218,470,255,162,417,"2,314",682,"2,996",43,0.78,0.45,0.80,18866,25639,18048,7591,20511,5128,NORTH CAROLINA_ALEXANDER
NC 1997,NORTH CAROLINA,ALLEGHANY,Alleghany,Hardwood,"1,110",186,"1,296",155,134,289,156,100,256,"1,421",420,"1,841",43,0.78,0.45,0.80,18866,15755,11091,4664,12604,3151,NORTH CAROLINA_ALLEGHANY
NC 1997,NORTH CAROLINA,ANSON,Anson,Hardwood,"4,598",924,"5,522",661,569,"1,230",667,425,"1,092","5,926","1,918","7,844",43,0.78,0.45,0.80,18866,67127,47256,19871,53701,13425,NORTH CAROLINA_ANSON
