State,States,COUNTY,County,Species_Group,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_rowing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Hardwood_Density_lb_ft3,Df,CC,Percentshoot,HANPP_lb_C_perthousand_cubicfeet,TotalHANPP_Harvest_in_Tonnes,HANPP_harvest_used_in_Tonnes,HANPP_Harvest_unused_in_Tonnes,HANPP_Harvest_above_ground_in_Tonnes,HANPP_Harvest_below_ground_in_Tonnes,Stcnty
AR 1997,ARKANSAS,BOONE,Boone,Hardwood,948,203,"1,151",176,238,414,157,109,266,"1,281",550,"1,831",43,0.78,0.45,0.80,18866,15669,9850,5819,12535,3134,ARKANSAS_BOONE
AR 1997,ARKANSAS,BRADLEY,Bradley,Hardwood,"13,370","4,113","17,483","2,677","3,604","6,281","2,386","1,656","4,042","18,433","9,373","27,806",43,0.78,0.45,0.80,18866,237956,149615,88341,190365,47591,ARKANSAS_BRADLEY
AR 1997,ARKANSAS,CALHOUN,Calhoun,Hardwood,"6,218","1,769","7,987","1,223","1,646","2,869","1,090",756,"1,846","8,531","4,171","12,702",43,0.78,0.45,0.80,18866,108700,68351,40350,86960,21740,ARKANSAS_CALHOUN
AR 1997,ARKANSAS,CARROLL,Carroll,Hardwood,"1,370",292,"1,662",254,343,597,227,157,384,"1,851",792,"2,643",43,0.78,0.45,0.80,18866,22618,14223,8395,18094,4524,ARKANSAS_CARROLL
AR 1997,ARKANSAS,CHICOT,Chicot,Hardwood,"3,166","1,039","4,205",644,867,"1,511",574,398,972,"4,383","2,305","6,688",43,0.78,0.45,0.80,18866,57234,35985,21249,45787,11447,ARKANSAS_CHICOT
AR 1997,ARKANSAS,CLARK,Clark,Hardwood,"14,047","4,414","18,461","2,826","3,806","6,632","2,519","1,748","4,267","19,392","9,968","29,360",43,0.78,0.45,0.80,18866,251255,157984,93271,201004,50251,ARKANSAS_CLARK
AR 1997,ARKANSAS,CLAY,Clay,Hardwood,490,123,613,94,126,220,84,58,142,668,307,975,43,0.78,0.45,0.80,18866,8344,5246,3098,6675,1669,ARKANSAS_CLAY
AR 1997,ARKANSAS,CLEBURNE,Cleburne,Hardwood,"2,121",585,"2,706",414,558,972,370,256,626,"2,905","1,399","4,304",43,0.78,0.45,0.80,18866,36832,23157,13675,29466,7366,ARKANSAS_CLEBURNE
AR 1997,ARKANSAS,CLEVELAND,Cleveland,Hardwood,"5,313","1,527","6,840","1,047","1,410","2,457",933,648,"1,581","7,293","3,585","10,878",43,0.78,0.45,0.80,18866,93091,58535,34556,74473,18618,ARKANSAS_CLEVELAND
AR 1997,ARKANSAS,COLUMBIA,Columbia,Hardwood,"5,744","1,588","7,332","1,122","1,512","2,634","1,001",694,"1,695","7,867","3,794","11,661",43,0.78,0.45,0.80,18866,99792,62745,37046,79833,19958,ARKANSAS_COLUMBIA
