State,States,COUNTY,County,Species_Group,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Hardwood_Density_lb_ft3,Df,CC,Percentshoot,HANPP_lb_C_perthousand_cubicfeet,TotalHANPP_Harvest_in_Tonnes,HANPP_harvest_used_in_Tonnes,HANPP_Harvest_unused_in_Tonnes,HANPP_Harvest_above_ground_in_Tonnes,HANPP_Harvest_below_ground_in_Tonnes,Stcnty
AL 2007,ALABAMA,LAMAR,Lamar,Hardwood,"1,836",96,"1,932",343,510,853,235,102,337,"2,413",709,"3,122",43,0.78,0.45,0.8,18866,26717,16534,10184,21374,5343,ALABAMA_LAMAR
AL 2007,ALABAMA,LAUDERDALE,Lauderdale,Hardwood,"3,605",321,"3,926",696,"1,038","1,734",477,208,685,"4,779","1,566","6,345",43,0.78,0.45,0.8,18866,54299,33598,20701,43439,10860,ALABAMA_LAUDERDALE
AL 2007,ALABAMA,LAWRENCE,Lawrence,Hardwood,"1,914",220,"2,134",379,564,943,259,113,372,"2,552",897,"3,449",43,0.78,0.45,0.8,18866,29516,18262,11253,23612,5903,ALABAMA_LAWRENCE
AL 2007,ALABAMA,LEE,Lee,Hardwood,"2,615",269,"2,884",512,762,"1,274",350,153,503,"3,477","1,184","4,661",43,0.78,0.45,0.8,18866,39888,24680,15207,31910,7978,ALABAMA_LEE
AL 2007,ALABAMA,LIMESTONE,Limestone,Hardwood,"1,668",124,"1,792",318,473,791,218,95,313,"2,204",692,"2,896",43,0.78,0.45,0.8,18866,24783,15335,9448,19827,4957,ALABAMA_LIMESTONE
AL 2007,ALABAMA,LOWNDES,Lowndes,Hardwood,"3,035",253,"3,288",583,869,"1,452",400,174,574,"4,018","1,296","5,314",43,0.78,0.45,0.8,18866,45476,28138,17338,36381,9095,ALABAMA_LOWNDES
AL 2007,ALABAMA,MACON,Macon,Hardwood,"5,113",302,"5,415",961,"1,431","2,392",658,287,945,"6,732","2,020","8,752",43,0.78,0.45,0.8,18866,74897,46340,28557,59918,14979,ALABAMA_MACON
AL 2007,ALABAMA,MADISON,Madison,Hardwood,"1,433",94,"1,527",271,404,675,186,81,267,"1,890",579,"2,469",43,0.78,0.45,0.8,18866,21129,13068,8061,16903,4226,ALABAMA_MADISON
AL 2007,ALABAMA,MARENGO,Marengo,Hardwood,"11,725","1,033","12,758","2,263","3,372","5,635","1,551",675,"2,226","15,539","5,080","20,619",43,0.78,0.45,0.8,18866,176452,109180,67272,141161,35290,ALABAMA_MARENGO
AL 2007,ALABAMA,MARION,Marion,Hardwood,"2,531",293,"2,824",501,746,"1,247",343,150,493,"3,375","1,189","4,564",43,0.78,0.45,0.8,18866,39057,24167,14890,31246,7811,ALABAMA_MARION
AL 2007,ALABAMA,MARSHALL,Marshall,Hardwood,"2,456",291,"2,747",487,726,"1,213",334,145,479,"3,277","1,162","4,439",43,0.78,0.45,0.8,18866,37988,23508,14480,30390,7598,ALABAMA_MARSHALL
AL 2007,ALABAMA,MOBILE,Mobile,Hardwood,"5,547",694,"6,241","1,107","1,650","2,757",759,330,"1,089","7,413","2,674","10,087",43,0.78,0.45,0.8,18866,86322,53409,32913,69057,17264,ALABAMA_MOBILE
AL 2007,ALABAMA,MONROE,Monroe,Hardwood,"9,328","1,010","10,338","1,834","2,732","4,566","1,257",547,"1,804","12,419","4,289","16,708",43,0.78,0.45,0.8,18866,142983,88470,54513,114386,28597,ALABAMA_MONROE
AL 2007,ALABAMA,MONTGOMERY,Montgomery,Hardwood,"6,088",541,"6,629","1,176","1,752","2,928",806,351,"1,157","8,070","2,644","10,714",43,0.78,0.45,0.8,18866,91688,56729,34958,73350,18338,ALABAMA_MONTGOMERY
AL 2007,ALABAMA,MORGAN,Morgan,Hardwood,"2,631",301,"2,932",520,775,"1,295",357,155,512,"3,508","1,231","4,739",43,0.78,0.45,0.8,18866,40555,25091,15464,32444,8111,ALABAMA_MORGAN
AL 2007,ALABAMA,PERRY,Perry,Hardwood,"3,724",421,"4,145",735,"1,096","1,831",504,219,723,"4,963","1,736","6,699",43,0.78,0.45,0.8,18866,57328,35472,21856,45863,11466,ALABAMA_PERRY
AL 2007,ALABAMA,PICKENS,Pickens,Hardwood,"3,088",227,"3,315",588,876,"1,464",403,175,578,"4,078","1,279","5,357",43,0.78,0.45,0.8,18866,45844,28369,17475,36675,9169,ALABAMA_PICKENS
AL 2007,ALABAMA,PIKE,Pike,Hardwood,"3,634",412,"4,046",718,"1,069","1,787",492,214,706,"4,843","1,696","6,539",43,0.78,0.45,0.8,18866,55959,34625,21334,44767,11192,ALABAMA_PIKE
AL 2007,ALABAMA,RANDOLPH,Randolph,Hardwood,"1,719",208,"1,927",342,509,851,234,102,336,"2,295",819,"3,114",43,0.78,0.45,0.8,18866,26649,16491,10158,21319,5330,ALABAMA_RANDOLPH
AL 2007,ALABAMA,RUSSELL,Russell,Hardwood,"4,177",462,"4,639",823,"1,226","2,049",564,246,810,"5,564","1,934","7,498",43,0.78,0.45,0.8,18866,64166,39699,24467,51333,12833,ALABAMA_RUSSELL
AL 2007,ALABAMA,SHELBY,Shelby,Hardwood,"2,182",204,"2,386",423,631,"1,054",290,126,416,"2,895",961,"3,856",43,0.78,0.45,0.8,18866,32999,20419,12580,26399,6600,ALABAMA_SHELBY
AL 2007,ALABAMA,ST. CLAIR,St. Clair,Hardwood,"3,363",470,"3,833",680,"1,013","1,693",466,203,669,"4,509","1,686","6,195",43,0.78,0.45,0.8,18866,53015,32802,20213,42412,10603,ALABAMA_ST. CLAIR
AL 2007,ALABAMA,SUMTER,Sumter,Hardwood,"6,195",744,"6,939","1,231","1,834","3,065",844,367,"1,211","8,269","2,946","11,215",43,0.78,0.45,0.8,18866,95975,59382,36593,76780,19195,ALABAMA_SUMTER
AL 2007,ALABAMA,TALLADEGA,Talladega,Hardwood,"2,972",202,"3,174",563,839,"1,402",386,168,554,"3,921","1,209","5,130",43,0.78,0.45,0.8,18866,43901,27162,16739,35121,8780,ALABAMA_TALLADEGA
AL 2007,ALABAMA,TALLAPOOSA,Tallapoosa,Hardwood,"3,660",439,"4,099",727,"1,084","1,811",498,217,715,"4,885","1,740","6,625",43,0.78,0.45,0.8,18866,56695,35078,21617,45356,11339,ALABAMA_TALLAPOOSA
AL 2007,ALABAMA,TUSCALOOSA,Tuscaloosa,Hardwood,"6,396",680,"7,076","1,255","1,870","3,125",860,375,"1,235","8,512","2,924","11,436",43,0.78,0.45,0.8,18866,97866,60555,37312,78293,19573,ALABAMA_TUSCALOOSA
AL 2007,ALABAMA,WALKER,Walker,Hardwood,"4,678",592,"5,270",935,"1,393","2,328",641,279,920,"6,254","2,264","8,518",43,0.78,0.45,0.8,18866,72895,45099,27796,58316,14579,ALABAMA_WALKER
AL 2007,ALABAMA,WASHINGTON,Washington,Hardwood,"4,871",603,"5,474",971,"1,447","2,418",665,290,955,"6,508","2,339","8,847",43,0.78,0.45,0.8,18866,75710,46845,28865,60568,15142,ALABAMA_WASHINGTON
AL 2007,ALABAMA,WILCOX,Wilcox,Hardwood,"6,022",692,"6,714","1,191","1,774","2,965",816,355,"1,171","8,029","2,821","10,850",43,0.78,0.45,0.8,18866,92851,57457,35395,74281,18570,ALABAMA_WILCOX
AL 2007,ALABAMA,WINSTON,Winston,Hardwood,"3,801",402,"4,203",745,"1,111","1,856",511,222,733,"5,057","1,735","6,792",43,0.78,0.45,0.8,18866,58124,35968,22156,46499,11625,ALABAMA_WINSTON
AR 2007,ARKANSAS,ARKANSAS,Arkansas,Hardwood,"2,774",116,"2,890",745,"1,067","1,812",982,293,"1,275","4,501","1,476","5,977",43,0.78,0.45,0.8,18866,51150,24732,26418,40920,10230,ARKANSAS_ARKANSAS
AR 2007,ARKANSAS,ASHLEY,Ashley,Hardwood,"5,107",332,"5,439","1,401","2,008","3,409","1,847",552,"2,399","8,356","2,891","11,247",43,0.78,0.45,0.8,18866,96249,46545,49703,76999,19250,ARKANSAS_ASHLEY
AR 2007,ARKANSAS,BAXTER,Baxter,Hardwood,868,28,896,231,331,562,304,91,395,"1,403",450,"1,853",43,0.78,0.45,0.8,18866,15857,7668,8190,12686,3171,ARKANSAS_BAXTER
AR 2007,ARKANSAS,BENTON,Benton,Hardwood,"1,920",67,"1,987",512,733,"1,245",675,201,876,"3,106","1,002","4,108",43,0.78,0.45,0.8,18866,35155,17004,18151,28124,7031,ARKANSAS_BENTON
AR 2007,ARKANSAS,BOONE,Boone,Hardwood,"1,160",37,"1,197",308,442,750,407,121,528,"1,874",601,"2,475",43,0.78,0.45,0.8,18866,21180,10244,10937,16944,4236,ARKANSAS_BOONE
AR 2007,ARKANSAS,BRADLEY,Bradley,Hardwood,"7,481",506,"7,987","2,058","2,949","5,007","2,713",810,"3,523","12,252","4,265","16,517",43,0.78,0.45,0.8,18866,141348,68351,72997,113078,28270,ARKANSAS_BRADLEY
AR 2007,ARKANSAS,CALHOUN,Calhoun,Hardwood,"5,112",312,"5,424","1,397","2,003","3,400","1,843",550,"2,393","8,352","2,865","11,217",43,0.78,0.45,0.8,18866,95992,46417,49575,76794,19198,ARKANSAS_CALHOUN
AR 2007,ARKANSAS,CARROLL,Carroll,Hardwood,"1,377",53,"1,430",369,528,897,486,145,631,"2,231",727,"2,958",43,0.78,0.45,0.8,18866,25314,12238,13076,20251,5063,ARKANSAS_CARROLL
AR 2007,ARKANSAS,CHICOT,Chicot,Hardwood,"1,851",95,"1,946",501,719,"1,220",661,197,858,"3,013","1,011","4,024",43,0.78,0.45,0.8,18866,34436,16653,17783,27549,6887,ARKANSAS_CHICOT
